Country,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious_Critical,Cases_per_1M,Deaths_per_1M,TotalTests,Tests_per_1M,WHO Region,iso_alpha,Mortality_Rate,Recovery_Rate,Active_Case_Rate,Calculated_Cases_per_1M,Calculated_Deaths_per_1M,Calculated_Tests_per_1M,Case_Burden_Score,Death_Burden_Score,Active_Burden_Score,COVID_Impact_Score,Impact_Category
USA,North America,331198130.0,5032179,162804.0,2576668.0,2292707.0,18296.0,15194.0,492.0,63139605.0,190640.0,Americas,USA,3.2352585231964124,51.203822439543586,45.56091903726,15193.862960518527,491.56074643295847,190639.98036462342,96.15384615384616,95.18716577540107,80.97560975609757,90.77,Critical
Brazil,South America,212710692.0,2917562,98644.0,2047660.0,771258.0,8318.0,13716.0,464.0,13206188.0,62085.0,Americas,BRA,3.3810421166713853,70.18394124957756,26.435016633751058,13716.104125127853,463.7472572370739,62085.210084314895,94.71153846153845,94.11764705882352,58.048780487804876,82.29,Critical
India,Asia,1381344997.0,2025409,41638.0,1377384.0,606387.0,8944.0,1466.0,30.0,22149351.0,16035.0,South-EastAsia,IND,2.0557823135969078,68.005227586132,29.938990100271106,1466.2586134519443,30.143085246936323,16034.626431560457,56.25,51.87165775401069,66.82926829268293,58.32,High
Russia,Europe,145940924.0,871894,14606.0,676357.0,180931.0,2300.0,5974.0,100.0,29716907.0,203623.0,Europe,RUS,1.675203637139377,77.5733059293905,20.751490433470124,5974.294091765514,100.08159191865882,203622.85084614102,85.57692307692307,75.40106951871658,50.73170731707317,70.57,High
South Africa,Africa,59381566.0,538184,9604.0,387316.0,141264.0,539.0,9063.0,162.0,3149807.0,53044.0,Africa,ZAF,1.784519792487328,71.96720824104767,26.248271966465005,9063.149328193871,161.7336935843019,53043.51522154199,91.82692307692307,82.88770053475936,57.073170731707314,77.26,Critical
Mexico,North America,129066160.0,462690,50517.0,308848.0,103325.0,3987.0,3585.0,391.0,1056915.0,8189.0,Americas,MEX,10.918109317253451,66.75052410901468,22.331366573731874,3584.9056019021564,391.4039125360203,8188.939687986379,73.5576923076923,93.58288770053476,53.170731707317074,73.44,High
Peru,South America,33016319.0,455409,20424.0,310337.0,124648.0,1426.0,13793.0,619.0,2493429.0,75521.0,Americas,PER,4.484759853230832,68.14467873933103,27.37056140743815,13793.451656436928,618.6031822626865,75521.1082131839,95.1923076923077,97.86096256684492,60.97560975609756,84.68,Critical
Chile,South America,19132514.0,366671,9889.0,340168.0,16614.0,1358.0,19165.0,517.0,1760615.0,92022.0,Americas,CHL,2.69696812674032,92.77199451279212,4.5310373604675585,19164.81022828469,516.8688234071069,92022.14617483097,98.07692307692307,95.72192513368985,15.121951219512194,69.64,High
Colombia,South America,50936262.0,357710,11939.0,192355.0,153416.0,1493.0,7023.0,234.0,1801835.0,35374.0,Americas,COL,3.3376198596628557,53.774006877079195,42.88837326325795,7022.698289089215,234.3909727808452,35374.30760034963,87.5,87.16577540106952,76.58536585365854,83.75,Critical
Spain,Europe,46756648.0,354530,28500.0,,,617.0,7582.0,610.0,7064329.0,151087.0,Europe,ESP,8.038811948213127,,,7582.451162880623,609.5389900490728,151087.15663278513,89.42307692307693,97.32620320855615,,,Insufficient Data
Iran,Asia,84097623.0,320117,17976.0,277463.0,24678.0,4156.0,3806.0,214.0,2612763.0,31068.0,EasternMediterranean,IRN,5.615446852244648,86.67549677149292,7.709056376262429,3806.492842253104,213.75158249121975,31068.21461529299,75.0,85.56149732620321,25.853658536585368,62.14,High
UK,Europe,67922029.0,308134,46413.0,,,73.0,4537.0,683.0,17515234.0,257873.0,Europe,UKR,15.06260263391901,,,4536.584147096078,683.3276432304459,257872.65571822066,78.36538461538461,98.93048128342245,,,Insufficient Data
Saudi Arabia,Asia,34865919.0,284226,3055.0,247089.0,34082.0,1915.0,8152.0,88.0,3635705.0,104277.0,EasternMediterranean,SAU,1.0748488878568463,86.93398914947964,11.991161962663515,8151.972130721694,87.62138178546219,104276.75805705853,90.38461538461539,72.72727272727273,36.58536585365854,66.57,High
Pakistan,Asia,221295851.0,281863,6035.0,256058.0,19770.0,809.0,1274.0,27.0,2058872.0,9304.0,EasternMediterranean,PAK,2.1411111071690856,90.84484306205496,7.014045830775944,1273.693106880707,27.271184582669832,9303.708093469859,52.88461538461539,48.663101604278076,24.878048780487806,42.14,Moderate
Bangladesh,Asia,164851401.0,249651,3306.0,143824.0,102521.0,,1514.0,20.0,1225124.0,7432.0,South-EastAsia,BGD,1.3242486511169593,57.61002359293573,41.0657277559473,1514.4002324857402,20.05442465120451,7431.686916631057,56.730769230769226,44.919786096256686,74.14634146341463,58.6,High
Italy,Europe,60452568.0,249204,35187.0,201323.0,12694.0,42.0,4122.0,582.0,7099713.0,117443.0,Europe,ITA,14.119757307266337,80.78642397393301,5.093818718800661,4122.306268279621,582.0596405433099,117442.70317846547,76.92307692307693,96.79144385026738,19.024390243902438,64.25,High
